id,sales_volume,rating
201,3404,4.1
202,9331,3.8
203,9510,2.3
204,7738,4.5
205,5660,1.7
206,9487,1.8
207,6712,3.2
208,5098,4.2
209,7265,1.6
210,2791,2.5
211,3143,3.4
212,9924,2.3
213,813,4.1
214,4416,1.7
215,5310,4.6
216,6751,2.6
217,4752,3.4
218,6203,4.5
219,1960,4.0
220,9177,4.2
221,7163,2.2
222,2,1.2
223,2676,4.8
224,7536,3.5
225,6792,1.5
226,1135,2.3
227,8376,3.0
228,9295,1.7
229,3171,2.3
230,8324,1.4
231,5944,2.9
232,6909,3.7
233,4107,2.4
234,4712,3.7
235,5515,4.5
236,8187,1.2
237,6152,3.9
238,4911,3.6
239,6651,4.0
240,214,2.6
241,8849,3.4
242,2065,4.1
243,1147,1.4
244,3692,3.1
245,573,4.8
246,63,2.4
247,4990,2.2
248,7395,3.8
249,9550,3.5
250,8943,2.9
251,788,3.0
252,3957,1.8
253,7996,1.5
254,7437,3.6
255,4654,4.8
256,7165,3.7
257,6391,1.4
258,8336,2.8
259,6705,3.2
260,5629,3.4
261,6307,3.5
262,4216,2.9
263,2397,3.4
264,8528,2.0
265,7574,1.3
266,361,2.8
267,1206,2.0
268,9170,2.6
269,1185,1.6
270,5401,2.1
271,3058,3.7
272,6055,4.3
273,494,2.4
274,6055,2.8
275,3607,3.9
276,7329,3.5
277,693,2.5
278,9705,2.1
279,9467,2.0
280,9759,3.1
281,2032,5.0
282,8993,1.1
283,6667,2.6
284,2230,2.2
285,741,2.4
286,6098,4.0
287,9835,3.9
288,7301,3.8
289,919,3.9
290,3212,3.6
291,7670,2.1
292,270,2.4
293,9114,4.6
294,3289,1.5
295,2674,3.3
296,1476,1.6
297,5703,1.6
298,2436,1.1
299,9264,3.1
300,8787,4.7
301,3828,2.4
302,2976,4.0
303,1067,1.8
304,5106,1.9
305,7010,3.3
306,9645,3.0
307,9828,2.8
308,3270,2.8
309,3944,3.9
310,4576,2.4
311,9295,4.8
312,6997,1.4
313,4742,3.6
314,4949,2.3
315,2298,4.9
316,7604,4.8
317,5129,2.6
318,2679,3.2
319,8447,4.6
320,9274,2.7
321,1553,4.4
322,8006,1.6
323,3658,2.5
324,3365,4.5
325,5274,2.9
326,3654,4.0
327,3124,2.9
328,5041,3.4
329,6358,1.4
330,827,1.0
331,5999,3.7
332,1817,1.5
333,2405,4.5
334,4779,2.3
335,1516,4.3
336,4624,3.0
337,964,4.4
338,2663,5.0
339,3421,4.1
340,7565,1.5
341,300,3.1
342,2980,2.8
343,138,2.4
344,2342,2.6
345,8362,2.7
346,7475,1.8
347,460,3.4
348,7536,4.1
349,829,3.2
350,4130,1.1
351,8960,1.9
352,280,2.0
353,1419,4.3
354,1019,1.5
355,6446,1.4
356,8850,3.3
357,587,4.8
358,1397,4.3
359,9843,1.2
360,9407,2.1
361,2356,1.4
362,914,2.4
363,9279,4.9
364,7217,2.1
365,5492,3.9
366,1105,3.9
367,8386,3.8
368,8081,1.5
369,1214,4.4
370,7299,2.1
371,8340,1.6
372,9474,1.0
373,3158,2.3
374,3517,2.5
375,6508,2.5
376,2251,2.2
377,813,1.5
378,3688,1.9
379,5470,3.0
380,1437,3.4
381,9057,2.7
382,3823,4.1
383,1492,4.0
384,4481,3.2
385,317,4.8
386,6594,4.9
387,8192,4.0
388,9587,4.6
389,3671,2.3
390,4422,2.6
391,6129,2.1
392,3977,3.0
393,7385,3.0
394,1771,2.7
395,5378,1.2
396,8064,1.1
397,2754,3.6
398,100,1.8
399,1861,2.5
400,426,1.4
401,3978,2.4
402,9381,3.0
403,2654,4.6
404,9535,4.6
405,3080,1.8
406,6496,3.2
407,9878,3.3
408,7255,4.4
409,5818,4.4
410,3020,4.6
411,2718,1.4
412,5899,1.8
413,782,3.7
414,2611,4.2
415,3801,3.6
416,3928,4.7
417,5632,2.1
418,5224,2.0
419,4702,2.9
420,7196,1.4
421,1054,4.9
422,3572,4.4
423,2996,3.6
424,6776,3.7
425,7344,3.4
426,53,2.2
427,1584,4.8
428,9147,4.4
429,7620,1.8
430,5869,1.5
431,5660,1.5
432,6960,3.1
433,4690,1.9
434,9547,1.1
435,3184,3.0
436,7928,3.5
437,4781,3.2
438,2414,1.9
439,29,2.3
440,7453,1.8
441,592,2.7
442,8019,4.3
443,2593,4.1
444,5307,1.2
445,8142,4.6
446,6141,2.3
447,9477,2.8
448,4958,1.5
449,6361,4.5
450,2960,3.3
451,371,2.3
452,5905,2.5
453,393,2.1
454,7330,3.6
455,4541,1.0
456,4343,4.2
457,9132,4.2
458,5747,3.0
459,6537,1.6
460,9490,3.4
461,7465,2.3
462,5796,3.2
463,6185,4.8
464,2061,2.8
465,9099,2.5
466,6942,4.0
467,1527,2.8
468,7756,1.1
469,1773,4.3
470,2783,1.0
471,5787,3.0
472,6106,4.6
473,7955,1.4
474,2673,3.1
475,5601,1.4
476,8591,1.6
477,5779,4.0
478,5362,3.3
479,2444,4.9
480,4740,3.6
481,6651,4.9
482,1262,3.3
483,8881,3.8
484,4702,3.4
485,6611,2.7
486,4248,4.3
487,5038,1.0
488,646,3.1
489,420,2.1
490,9061,1.6
491,5051,4.0
492,3784,4.7
493,1607,3.6
494,1972,1.3
495,6224,4.7
496,7474,4.5
497,3601,3.2
498,4645,3.7
499,1156,4.2
500,18,2.1
501,1813,4.1
502,1913,4.5
503,4224,4.6
504,5265,4.4
505,2813,4.7
506,2081,4.9
507,8578,3.6
508,738,4.7
509,4418,3.0
510,6715,2.3
511,7579,4.9
512,5935,1.9
513,8406,2.8
514,7677,4.3
515,3280,4.5
516,8138,4.6
517,2401,2.9
518,4247,2.3
519,1397,1.4
520,4615,4.6
521,9072,2.4
522,8449,3.7
523,6349,1.4
524,4752,1.7
525,4455,2.2
526,8131,2.5
527,2290,1.5
528,1371,2.2
529,5747,3.8
530,3291,4.3
531,5365,3.6
532,8779,1.4
533,8784,2.1
534,8637,1.2
535,4907,3.5
536,6977,2.3
537,1993,4.4
538,5212,3.8
539,2700,4.4
540,4115,1.8
541,1915,1.7
542,2096,1.6
543,849,4.0
544,4644,4.8
545,4587,1.8
546,3790,1.9
547,2453,3.0
548,5845,4.0
549,6328,2.6
550,3505,2.7
551,2832,1.5
552,2610,2.2
553,5306,4.1
554,1318,4.2
555,2463,2.5
556,6577,3.5
557,3445,2.5
558,9125,3.3
559,4385,4.0
560,2309,2.6
561,2007,2.6
562,3115,3.2
563,9105,1.2
564,9392,4.7
565,7040,4.5
566,622,2.5
567,8345,4.9
568,6314,1.6
569,4700,3.6
570,8714,1.5
571,5958,4.7
572,7252,2.7
573,509,4.1
574,2947,4.2
575,9284,3.8
576,2405,2.1
577,6270,1.3
578,9396,3.7
579,2418,4.9
580,9590,4.4
581,8410,2.6
582,5895,3.1
583,6974,3.6
584,7622,1.6
585,2543,2.6
586,5168,2.2
587,8433,1.4
588,5881,2.4
589,6099,1.8
590,8976,2.9
591,4287,4.8
592,879,3.3
593,8443,3.1
594,9768,2.9
595,7782,4.8
596,6479,4.0
597,9114,1.4
598,6500,2.8
599,2446,2.1
600,1465,2.2
601,5723,1.5
602,9126,1.1
603,2963,3.3
604,9834,1.9
605,9306,2.3
606,1251,3.6
607,3178,2.5
608,8645,2.9
609,4705,4.5
610,516,2.4
611,5380,2.1
612,2179,3.4
613,8085,3.3
614,237,2.1
615,4696,3.8
616,9887,2.1
617,7281,1.4
618,2755,3.6
619,8358,2.8
620,4637,2.6
621,4681,3.3
622,2230,4.7
623,3880,4.6
624,7550,3.9
625,2075,4.5
626,918,2.6
627,2046,4.7
628,2225,4.7
629,2274,3.4
630,2462,1.9
631,4151,3.5
632,7117,2.3
633,6289,4.0
634,5287,1.9
635,5704,2.3
636,6085,2.7
637,4898,4.6
638,1794,4.8
639,7428,3.3
640,7867,3.9
641,4901,3.3
642,1660,1.5
643,6738,2.0
644,3387,1.5
645,4144,1.3
646,3368,3.2
647,9079,2.6
648,2099,4.2
649,3865,3.1
650,5184,4.7
651,5265,2.5
652,3908,4.7
653,2396,2.9
654,5492,2.9
655,3328,2.1
656,2084,1.9
657,3385,1.1
658,8090,2.0
659,3570,4.8
660,7983,2.1
661,9628,4.0
662,3607,2.7
663,9023,4.5
664,4601,2.8
665,1879,1.2
666,960,4.6
667,2020,2.7
668,1548,2.5
669,880,1.1
670,1026,1.3
671,5719,4.1
672,6029,2.6
673,4596,3.9
674,6405,3.1
675,9010,4.6
676,6777,4.5
677,5683,1.6
678,3590,4.4
679,693,3.5
680,6350,4.4
681,1482,1.1
682,6189,3.9
683,7123,2.9
684,2587,3.6
685,5432,1.6
686,5637,3.7
687,6814,1.3
688,3546,1.9
689,6362,2.0
690,968,3.5
691,1540,3.7
692,1622,2.3
693,215,4.0
694,8401,2.5
695,8313,1.7
696,7766,4.7
697,5541,4.7
698,342,2.4
699,5608,2.8
700,3546,2.7
701,5590,2.5
702,2802,1.7
703,6176,3.7
704,6934,2.7
705,5187,2.7
706,5020,1.5
707,9320,3.1
708,4799,5.0
709,1266,1.8
710,3291,2.4
711,1711,3.6
712,2418,4.1
713,8925,2.7
714,4523,1.6
715,1574,2.1
716,1695,1.5
717,5711,3.0
718,5821,3.1
719,7608,4.1
720,2508,3.4
721,8238,1.8
722,1742,2.6
723,7126,4.6
724,7247,2.4
725,7284,4.3
726,4890,1.2
727,8275,2.4
728,5358,4.6
729,2000,1.5
730,4912,2.2
731,230,4.6
732,7685,3.6
733,4450,1.4
734,7244,3.7
735,8455,3.9
736,4689,4.2
737,6383,2.5
738,9323,1.2
739,4662,3.2
740,6762,2.4
741,2692,4.4
742,5226,3.7
743,8856,4.0
744,5543,1.7
745,6688,3.6
746,7081,3.4
747,8950,3.0
748,7599,2.8
749,9208,2.3
750,7646,4.3
751,221,3.7
752,6372,1.9
753,3663,2.7
754,716,1.0
755,4596,4.4
756,6785,2.3
757,5813,4.5
758,7718,3.9
759,8347,1.3
760,1944,3.3
761,9620,4.8
762,215,3.0
763,9564,4.7
764,4643,3.3
765,680,4.2
766,4944,2.8
767,8739,3.9
768,2615,3.8
769,6451,4.0
770,1615,4.7
771,7345,3.2
772,7949,1.7
773,5399,4.0
774,8864,1.2
775,1589,2.4
776,9090,4.4
777,3313,4.6
778,3383,3.6
779,6274,1.5
780,17,2.6
781,4825,1.3
782,1778,2.2
783,4753,1.0
784,1374,1.5
785,9014,3.8
786,7671,2.1
787,5299,2.3
788,6709,2.5
789,6207,4.1
790,5003,3.2
791,4538,2.8
792,9463,3.3
793,2020,3.6
794,3341,1.6
795,6004,4.3
796,5073,4.3
797,4151,4.6
798,3706,2.2
799,7502,4.2
800,2222,2.0
801,6289,1.8
802,8296,1.4
803,3145,1.1
804,3057,3.1
805,2369,2.3
806,413,1.1
807,4443,3.4
808,1224,4.7
809,1619,4.9
810,5822,4.2
811,4846,2.9
812,8988,4.7
813,9847,3.9
814,4569,4.6
815,471,3.9
816,4304,1.4
817,7094,3.9
818,5212,3.0
819,1350,1.6
820,6064,4.1
821,3330,3.7
822,1052,1.5
823,9433,1.6
824,8475,1.3
825,4650,3.6
826,5272,4.4
827,9821,2.0
828,7516,3.5
829,5937,3.4
830,8398,1.9
831,1258,1.8
832,4531,2.9
833,141,3.8
834,4430,1.8
835,2314,2.0
836,2008,3.3
837,7304,2.7
838,2172,4.7
839,7790,5.0
840,3760,1.6
841,5049,3.2
842,6601,3.2
843,4878,3.4
844,4667,1.0
845,5028,4.8
846,2446,3.4
847,9920,3.9
848,1052,2.0
849,835,3.4
850,6606,4.0
851,3227,3.4
852,6689,2.9
853,834,3.6
854,1583,3.1
855,2463,1.9
856,3755,4.2
857,3525,1.8
858,5808,1.7
859,7667,3.7
860,5544,4.2
861,3760,2.4
862,8273,2.2
863,4542,1.2
864,2535,3.1
865,3483,4.1
866,5142,4.2
867,7632,4.2
868,1680,3.6
869,7740,2.6
870,8733,1.9
871,5757,1.9
872,1204,1.7
873,8525,4.4
874,9207,3.4
875,9279,2.3
876,9604,4.7
877,5074,4.4
878,2407,2.8
879,7795,2.4
880,1610,3.3
881,4783,1.7
882,6096,1.4
883,3366,4.7
884,8206,2.0
885,7982,1.2
886,5255,1.7
887,2913,4.6
888,628,2.0
889,9192,3.9
890,4143,4.1
891,2919,2.9
892,7127,2.7
893,3144,2.2
894,5472,4.1
895,2507,4.9
896,7551,3.7
897,5200,4.8
898,379,1.3
899,3923,1.9
900,804,1.9
901,7361,1.0
902,3778,3.2
903,4708,1.3
904,3969,2.7
905,687,2.1
906,6226,3.6
907,7665,3.2
908,6774,4.7
909,5003,2.5
910,6656,3.2
911,8339,1.3
912,3429,3.0
913,2707,1.3
914,9500,1.7
915,5923,4.2
916,6763,4.5
917,4681,1.2
918,2046,2.8
919,5365,1.2
920,3554,4.5
921,6058,1.5
922,2058,4.0
923,9974,3.3
924,9669,2.2
925,5242,2.3
926,8923,2.1
927,4745,3.8
928,5953,3.4
929,760,3.8
930,2770,3.3
931,8612,3.5
932,3995,2.8
933,7260,3.2
934,569,3.8
935,6851,4.4
936,2240,2.8
937,1443,2.6
938,8930,4.0
939,5554,1.8
940,5642,3.3
941,6708,2.4
942,6948,3.3
943,1063,3.4
944,1626,1.2
945,540,1.5
946,5140,3.8
947,6076,1.7
948,573,2.1
949,2130,2.4
950,9909,4.1
951,6973,3.2
952,2109,1.9
953,460,1.5
954,2137,1.1
955,4017,3.4
956,4673,1.4
957,8801,3.5
958,5292,3.9
959,6946,4.4
960,7794,3.4
961,4471,1.3
962,9259,4.9
963,3124,1.5
964,9679,2.6
965,9583,4.0
966,9812,4.8
967,4114,4.6
968,4064,4.7
969,4770,1.7
970,4084,3.5
971,671,1.6
972,2136,3.3
973,7444,2.0
974,9638,1.9
975,305,4.2
976,8905,3.1
977,757,1.2
978,949,3.5
979,1475,1.5
980,2718,4.7
981,7162,2.7
982,6908,3.8
983,4782,3.4
984,8526,1.7
985,3536,1.2
986,4838,3.6
987,3845,4.6
988,7853,1.3
989,4704,3.1
990,715,2.8
991,8437,2.0
992,90,2.7
993,3743,1.5
994,5059,4.4
995,2780,1.3
996,124,2.1
997,494,4.2
998,2000,1.3
999,6059,4.3
1000,9123,1.1
